number,title,created_at,closed_at
213,Update Version,2016-05-06T17:07:29Z,2016-05-06T23:34:10Z
214,`vapor new` should automatically initialize an empty Git repository,2016-05-06T20:58:56Z,2016-05-07T17:57:39Z
215,`vapor new` should create a barebone project without boilerplate code,2016-05-06T21:32:28Z,2016-05-07T17:24:49Z
216,improve git functionality for `vapor new`,2016-05-06T21:44:41Z,2016-07-04T15:50:11Z
217,add `vapor self-update` command,2016-05-07T02:36:55Z,2016-05-07T19:31:51Z
219,Suggestion for roadmap,2016-05-07T02:59:50Z,2016-05-11T00:40:08Z
220,get rid of extraneous `?` with `Node`,2016-05-07T08:03:45Z,2016-05-07T22:08:13Z
224,update to CK 0.7,2016-05-08T19:59:51Z,2016-05-08T20:54:23Z
225,Example not building on Linux,2016-05-09T16:30:19Z,2016-05-10T00:10:10Z
226,`app.any` needs label,2016-05-09T18:20:26Z,2016-05-10T00:43:52Z
227,complex json not compiling,2016-05-09T18:21:16Z,2016-05-10T00:22:36Z
228,vapor zewo mustache 05-03,2016-05-09T18:22:07Z,2016-05-12T01:04:46Z
230,validation failing emails via POST,2016-05-10T03:45:23Z,2016-05-11T01:36:18Z
231,build git bug,2016-05-10T22:14:36Z,2016-05-11T00:05:28Z
234,empty POST closing connection,2016-05-11T00:38:32Z,2016-05-11T02:23:21Z
240,Better cli build error message,2016-05-11T03:29:14Z,2016-05-11T03:39:48Z
242,pull request approval process,2016-05-11T19:51:24Z,2016-05-16T19:24:38Z
243,Nice work!,2016-05-11T20:21:09Z,2016-05-17T19:18:20Z
244,refactor `Valid` rules initialization,2016-05-12T00:43:00Z,2016-05-12T23:26:56Z
245,Some useful alogrithm testing in Vapor suite,2016-05-12T15:54:47Z,2016-05-27T21:35:22Z
246,rename `And` and `Or` validators to `Both` and `Either`,2016-05-12T23:20:20Z,2016-05-25T19:45:45Z
247,allow validators to transform the input,2016-05-13T00:07:33Z,2016-05-27T21:23:27Z
248,Unable to deploy Heroku -- Resolution steps in thread,2016-05-14T04:00:12Z,2016-05-15T03:27:54Z
249,`passes()` vs `passed()` in the docs,2016-05-14T11:03:23Z,2016-05-17T00:55:00Z
250,scoped middleware not there,2016-05-14T14:26:14Z,2016-05-16T14:55:20Z
251,localization,2016-05-14T15:55:37Z,2016-05-26T21:26:32Z
254,mustache character encoding,2016-05-15T02:58:08Z,2016-05-26T16:35:54Z
255,OPTIONS support on controllers,2016-05-15T15:27:06Z,2016-06-07T17:34:56Z
256,pure JSON 05-09,2016-05-15T23:54:05Z,2016-05-16T11:15:16Z
257,Error compiling with latest snapshot,2016-05-16T09:00:28Z,2016-05-16T10:17:58Z
259,cache,2016-05-16T18:05:27Z,2016-08-17T00:18:28Z
260,file uploads,2016-05-16T18:14:23Z,2016-05-24T17:20:43Z
261,finish web framework benchmarks,2016-05-16T18:16:00Z,2017-01-13T20:11:27Z
262,client,2016-05-16T18:24:49Z,2016-06-28T03:11:14Z
263,scheduled tasks,2016-05-16T18:33:49Z,2017-01-13T20:18:54Z
264,queue ,2016-05-16T18:38:52Z,2016-08-25T23:14:01Z
265,front end example projects,2016-05-16T18:41:49Z,2016-10-28T17:15:46Z
266,kitura server,2016-05-16T18:48:30Z,2016-10-28T17:17:00Z
267,deployment documentation,2016-05-16T18:57:35Z,2017-01-13T20:20:16Z
268,websockets,2016-05-16T19:01:51Z,2016-06-09T15:22:11Z
269,query & form-encoded parsing to spec,2016-05-16T19:03:49Z,2016-05-24T17:21:21Z
270,request initializable,2016-05-16T19:15:07Z,2016-08-29T19:40:55Z
271,auth,2016-05-16T19:16:05Z,2016-08-25T23:15:48Z
272,faker,2016-05-16T19:18:00Z,2017-01-13T20:20:53Z
273,StringInitializable in `add` on Application,2016-05-17T09:59:29Z,2016-07-29T22:12:01Z
274,Better way to handle large groupings of routes,2016-05-17T17:52:43Z,2016-05-25T20:13:58Z
275,Email regex does not fail with æøå,2016-05-17T17:56:51Z,2016-05-25T20:53:02Z
276,form encoded arrays,2016-05-17T17:57:51Z,2016-05-24T17:21:13Z
277,Send Email,2016-05-17T18:00:45Z,2016-07-13T00:20:40Z
278,NSDate,2016-05-17T18:05:24Z,2016-06-14T14:26:06Z
279,config / .env documentation,2016-05-17T18:29:36Z,2016-05-24T15:05:47Z
280,fluent foundation,2016-05-17T21:18:20Z,2016-05-24T16:28:23Z
283,robust cookie support,2016-05-18T15:25:30Z,2016-07-04T15:51:01Z
284,remove extra schemes with cli,2016-05-18T20:46:47Z,2016-05-20T15:20:02Z
286,Add Heroku Instance to Build Pushes,2016-05-19T00:00:44Z,2016-07-01T01:40:14Z
290,log levels enum,2016-05-19T23:52:12Z,2016-05-20T15:47:52Z
291,build not success,2016-05-20T06:27:56Z,2016-05-27T21:11:47Z
292,Need interactive overview on Vapor,2016-05-20T09:32:55Z,2016-08-25T23:16:22Z
293,fuzzy JSON string <-> int,2016-05-20T14:18:57Z,2016-05-25T20:13:58Z
295,messages on `Abort`,2016-05-20T18:26:17Z,2016-05-26T16:15:55Z
297,Guideline for plugins,2016-05-21T16:54:05Z,2016-08-25T23:16:54Z
299,VM image for running Swift 3 and Vapor,2016-05-22T13:28:12Z,2016-05-23T19:37:41Z
301,Testing Framework,2016-05-23T09:10:37Z,2016-10-28T17:19:15Z
302,app.group is not thread-safe,2016-05-23T18:56:37Z,2016-05-25T20:13:58Z
305,Schemabuilder,2016-05-24T18:55:09Z,2016-06-23T22:21:27Z
306,Capistrano like update system,2016-05-24T22:43:52Z,2017-01-13T20:22:54Z
308,"""$ swift build"" now returns error",2016-05-25T08:32:34Z,2016-05-25T10:40:16Z
309,providers in init,2016-05-25T15:41:29Z,2016-06-06T14:10:55Z
311,Document Hot Reload w/ Gulp-Vapor,2016-05-25T16:03:50Z,2017-01-13T20:22:45Z
313,Build / compile error,2016-05-25T20:20:17Z,2016-05-25T20:58:36Z
315,StringInitializable Fluent Models,2016-05-25T23:11:41Z,2016-08-25T23:39:51Z
318,Handling 500/502/503/504 error request,2016-05-26T01:39:39Z,2016-05-26T15:19:16Z
319,Discuss possibility of all CLI Args added to Config as `app`,2016-05-26T02:32:45Z,2016-05-26T21:33:53Z
321,Crash on MultiPart Forms,2016-05-26T03:02:05Z,2016-05-26T21:03:04Z
325,Change router syntax a tiny bit for more clarity,2016-05-26T21:14:19Z,2016-05-27T21:10:55Z
326,Launch messaging,2016-05-27T05:53:27Z,2016-06-14T14:25:34Z
327,Vapor example won't build on Linux Mint,2016-05-27T07:28:49Z,2016-05-30T17:58:05Z
335,Binding for Argon2,2016-05-29T01:24:54Z,2016-06-25T18:02:42Z
339,Route hosts the same as groups,2016-05-30T05:51:59Z,2016-05-30T20:31:34Z
341,Routing in JSON,2016-05-31T03:20:52Z,2016-06-25T18:04:08Z
343,Couldn't start server on Xcode ,2016-06-01T08:12:49Z,2016-06-10T04:13:17Z
345,console printing,2016-06-01T20:47:19Z,2016-06-07T17:34:42Z
350,See Vapor CLI version,2016-06-03T08:10:31Z,2016-06-03T14:42:41Z
351,Lower case on --workDir command,2016-06-03T08:14:19Z,2016-06-14T14:25:16Z
355,Vapor auto exit after benchmark,2016-06-04T14:07:37Z,2016-06-14T14:24:47Z
