number,created_at,closed_at
3966,2019-05-20T13:12:56Z,2019-05-20T13:15:14Z
3968,2019-05-23T12:53:02Z,2019-05-25T22:15:56Z
3969,2019-05-27T04:46:59Z,2019-05-28T02:49:23Z
3970,2019-05-28T14:40:48Z,2019-05-28T14:44:33Z
3971,2019-05-30T22:04:52Z,2019-05-31T02:32:13Z
3972,2019-05-31T18:04:19Z,2019-05-31T18:35:56Z
3974,2019-05-31T22:43:25Z,2019-05-31T22:51:53Z
3975,2019-06-03T19:53:36Z,2019-06-04T00:04:23Z
3976,2019-06-04T14:15:25Z,2019-06-04T14:30:51Z
3977,2019-06-04T16:19:06Z,2019-06-04T16:31:21Z
3978,2019-06-04T17:22:18Z,2019-06-04T17:25:30Z
3980,2019-06-11T02:37:33Z,2019-06-11T11:29:30Z
3982,2019-06-16T13:14:35Z,2019-06-16T14:31:29Z
3983,2019-06-17T15:13:58Z,2019-06-17T17:17:03Z
3984,2019-06-17T16:17:19Z,2019-06-17T16:20:06Z
3985,2019-06-18T12:15:12Z,2019-06-19T16:21:56Z
3986,2019-06-18T12:18:27Z,2019-06-19T16:39:58Z
3987,2019-06-19T06:08:53Z,2019-06-19T06:17:05Z
3988,2019-06-19T07:14:30Z,2019-06-19T10:34:56Z
3990,2019-06-20T14:41:51Z,2019-06-20T14:59:40Z
3991,2019-06-25T13:41:49Z,2019-06-25T13:44:57Z
3992,2019-06-25T16:03:15Z,2020-03-25T21:59:54Z
3993,2019-06-25T23:18:08Z,2019-06-25T23:21:52Z
3994,2019-06-26T07:19:32Z,2019-06-26T16:46:37Z
3995,2019-06-28T16:09:31Z,2019-07-03T05:42:06Z
3996,2019-06-30T05:21:09Z,2020-01-17T18:25:06Z
3997,2019-07-01T02:54:56Z,2020-04-10T23:09:37Z
3998,2019-07-02T06:15:04Z,2019-07-02T06:20:00Z
3999,2019-07-03T03:16:32Z,2019-08-21T07:27:32Z
4000,2019-07-03T04:41:12Z,2019-07-03T05:40:31Z
4001,2019-07-03T13:02:32Z,2019-07-18T01:28:21Z
4003,2019-07-06T15:29:26Z,2019-07-07T01:11:19Z
4004,2019-07-10T07:52:33Z,2019-07-10T07:58:42Z
4007,2019-07-12T15:27:57Z,2019-07-12T18:03:23Z
4008,2019-07-12T18:40:29Z,2019-07-18T01:36:09Z
4009,2019-07-14T15:32:11Z,2019-07-15T12:49:34Z
4012,2019-07-19T06:50:02Z,2019-07-29T01:23:03Z
4013,2019-07-19T15:20:45Z,2020-04-10T23:05:22Z
4015,2019-07-21T20:41:41Z,2019-08-19T11:29:24Z
4016,2019-07-22T10:25:31Z,2019-07-22T20:49:39Z
4017,2019-07-22T19:48:53Z,2019-07-22T20:56:27Z
4018,2019-07-23T11:50:40Z,2019-07-23T13:23:39Z
4019,2019-07-23T21:05:13Z,2019-07-24T23:48:47Z
4021,2019-07-26T12:26:42Z,2019-08-21T04:04:49Z
4022,2019-07-29T16:55:10Z,2019-07-29T17:32:57Z
4023,2019-08-02T08:38:20Z,2020-04-23T02:43:11Z
4024,2019-08-09T12:10:00Z,2019-08-17T07:25:39Z
4025,2019-08-09T12:50:36Z,2019-08-09T13:22:36Z
4026,2019-08-12T08:57:51Z,2019-08-13T14:01:15Z
4027,2019-08-15T19:35:09Z,2019-08-15T21:54:07Z
4029,2019-08-19T20:11:31Z,2019-08-19T20:22:42Z
4030,2019-08-21T03:52:07Z,2019-08-21T03:57:57Z
4031,2019-08-22T07:17:52Z,2019-08-22T17:32:47Z
4032,2019-08-22T12:59:15Z,2019-08-22T17:34:33Z
4033,2019-08-22T15:13:11Z,2019-08-22T15:14:49Z
4034,2019-08-22T22:07:46Z,2019-08-22T22:10:55Z
4035,2019-08-26T20:32:16Z,2019-09-05T18:28:56Z
4036,2019-08-27T02:05:50Z,2019-08-27T02:52:36Z
4037,2019-08-27T03:36:52Z,2019-08-27T03:36:56Z
4038,2019-08-27T12:20:45Z,2019-08-27T15:02:42Z
4039,2019-08-28T04:04:20Z,2019-08-28T09:09:36Z
4041,2019-08-30T20:58:03Z,2019-08-30T21:41:33Z
4042,2019-09-01T01:25:13Z,2019-09-02T07:05:01Z
4045,2019-09-03T22:16:20Z,2019-09-05T22:06:21Z
4048,2019-09-09T20:26:49Z,2019-09-09T20:45:20Z
4049,2019-09-11T11:34:13Z,2020-02-20T05:07:04Z
4051,2019-09-12T23:32:16Z,2019-09-13T00:16:27Z
4053,2019-09-14T11:58:08Z,2019-09-14T14:04:51Z
4054,2019-09-15T02:13:02Z,2019-09-15T02:16:07Z
4056,2019-09-16T22:47:34Z,2019-09-16T23:10:14Z
4058,2019-09-18T15:08:42Z,2019-09-18T15:10:29Z
4060,2019-09-24T10:49:45Z,2020-04-10T23:12:13Z
4061,2019-09-24T13:26:15Z,2019-10-03T15:23:42Z
4062,2019-09-25T19:45:20Z,2019-09-27T00:21:36Z
4063,2019-09-26T17:17:51Z,2019-12-19T15:21:21Z
4064,2019-09-27T18:05:51Z,2019-09-27T18:07:51Z
4065,2019-09-28T03:57:45Z,2019-09-28T04:02:49Z
4066,2019-09-30T06:37:34Z,2019-09-30T14:38:15Z
4067,2019-10-01T06:44:00Z,2019-10-01T16:13:32Z
4068,2019-10-02T10:13:24Z,2020-04-10T22:47:35Z
4069,2019-10-03T11:23:53Z,2019-10-07T09:55:36Z
4071,2019-10-04T14:40:11Z,2019-10-04T14:45:00Z
4072,2019-10-05T20:13:50Z,2019-10-05T20:22:35Z
4073,2019-10-06T00:17:44Z,2019-10-06T00:19:37Z
4074,2019-10-08T13:45:20Z,2019-10-08T14:24:54Z
4075,2019-10-11T01:28:23Z,2020-04-10T22:51:00Z
4076,2019-10-14T14:01:35Z,2019-10-14T14:26:24Z
4078,2019-10-17T08:40:02Z,2019-10-17T09:32:56Z
4079,2019-10-17T13:44:55Z,2019-10-17T14:46:20Z
4080,2019-10-18T17:52:28Z,2019-10-18T20:14:29Z
4081,2019-10-22T18:35:04Z,2019-10-24T11:55:39Z
4082,2019-10-23T06:41:38Z,2019-10-28T07:53:49Z
4084,2019-10-24T02:34:48Z,2019-11-01T16:47:31Z
4086,2019-10-25T15:56:49Z,2019-10-25T16:01:41Z
4088,2019-10-28T09:32:02Z,2019-10-28T23:25:09Z
4089,2019-10-28T19:16:59Z,2019-10-28T21:52:46Z
4090,2019-10-30T12:59:20Z,2019-10-30T18:34:43Z
4091,2019-10-31T05:28:51Z,2019-11-01T11:10:38Z
4092,2019-11-01T15:08:31Z,2019-11-03T00:20:12Z
4093,2019-11-02T17:11:13Z,2020-04-10T22:36:10Z
4094,2019-11-03T14:36:24Z,2019-11-05T23:16:25Z
4095,2019-11-04T18:32:13Z,2019-11-15T17:26:24Z
4096,2019-11-07T11:27:32Z,2019-12-21T03:31:27Z
4097,2019-11-07T20:26:38Z,2019-11-07T20:38:05Z
4098,2019-11-10T08:19:07Z,2019-11-12T03:47:29Z
4100,2019-11-14T04:02:39Z,2019-11-14T17:45:15Z
4101,2019-11-14T04:04:18Z,2019-11-15T21:36:18Z
4103,2019-11-19T15:18:17Z,2019-11-19T15:25:23Z
4104,2019-11-19T17:37:32Z,2019-11-20T04:52:37Z
4105,2019-11-20T12:05:19Z,2019-11-21T05:19:59Z
4107,2019-11-22T19:43:59Z,2019-11-22T21:23:08Z
4108,2019-11-25T17:37:18Z,2020-04-10T22:40:09Z
4109,2019-11-27T03:59:14Z,2019-11-27T03:59:40Z
4110,2019-11-28T11:12:40Z,2019-11-28T14:48:11Z
4111,2019-11-29T18:23:49Z,2020-04-10T22:36:57Z
4112,2019-12-02T04:28:11Z,2019-12-02T04:32:14Z
4113,2019-12-02T13:16:15Z,2019-12-03T17:34:37Z
4116,2019-12-05T14:51:06Z,2019-12-05T14:52:50Z
4117,2019-12-06T18:37:35Z,2019-12-06T18:38:14Z
4118,2019-12-09T12:39:47Z,2019-12-09T16:06:00Z
4131,2019-12-13T14:50:52Z,2019-12-14T00:05:42Z
4134,2019-12-18T21:01:17Z,2019-12-18T23:35:30Z
4136,2019-12-19T19:59:46Z,2019-12-19T20:01:48Z
4137,2019-12-20T06:12:44Z,2019-12-21T02:55:33Z
4138,2019-12-21T15:37:07Z,2019-12-21T15:59:42Z
4139,2019-12-25T03:15:10Z,2019-12-25T03:19:04Z
4140,2019-12-25T20:25:17Z,2019-12-25T20:41:25Z
4141,2019-12-30T04:47:48Z,2019-12-30T04:49:25Z
4146,2020-01-02T00:38:11Z,2020-01-02T00:43:46Z
4147,2020-01-02T16:16:28Z,2020-01-02T16:19:01Z
4148,2020-01-03T04:22:40Z,2020-01-03T16:24:46Z
4149,2020-01-03T05:09:30Z,2020-01-03T05:28:39Z
4150,2020-01-04T00:03:59Z,2020-01-04T00:38:43Z
4153,2020-01-05T20:10:51Z,2020-01-05T20:20:15Z
4154,2020-01-07T11:24:06Z,2020-03-24T05:21:44Z
4157,2020-01-13T10:17:14Z,2020-01-18T14:04:19Z
4158,2020-01-14T05:49:51Z,2020-01-14T05:58:21Z
4159,2020-01-16T09:59:15Z,2020-01-16T13:03:00Z
4160,2020-01-16T15:44:21Z,2020-01-17T16:06:55Z
