number,title,created_at,closed_at
9,http method name in uppercase is too ugly..,2014-07-01T07:10:48Z,2014-07-03T16:30:21Z
10,JSON does not set the correct Content-Type header,2014-07-01T07:14:10Z,2014-07-01T07:37:22Z
12,encoding/xml cannot marshal maps,2014-07-01T08:03:17Z,2015-05-24T01:13:34Z
14,Rename context.EnsureBody() to context.ValidateBody(),2014-07-01T11:01:41Z,2014-07-16T00:59:45Z
15,Session Mgmt?,2014-07-01T16:51:33Z,2014-07-08T10:13:01Z
19,ROADMAP for 0.2,2014-07-02T08:35:55Z,2015-05-17T00:59:51Z
20,Support for 405 Method Not Allowed,2014-07-02T08:38:27Z,2015-01-03T19:13:36Z
22,Change c.Req to c.Request similar to c.Writer,2014-07-02T11:16:13Z,2014-07-16T00:58:34Z
24,Important performance improvement,2014-07-02T14:08:17Z,2014-07-08T10:06:16Z
27,How can I use html template?,2014-07-03T06:58:21Z,2015-07-03T17:42:27Z
29,Issue with custom CORS header middleware,2014-07-03T11:21:24Z,2014-07-08T10:07:38Z
35,Need to be able to choose the action delimiters of templates,2014-07-03T20:32:38Z,2014-07-03T20:34:56Z
38,URL with the trailing slash,2014-07-04T14:33:47Z,2014-07-16T00:57:26Z
42,Submit your middleware to 'github.com/gin-gonic/contrib'!,2014-07-05T18:25:30Z,2015-07-03T18:20:15Z
43,Logged Intrusion?,2014-07-05T18:26:12Z,2014-07-05T18:57:43Z
44,the router not overrite,2014-07-06T00:01:26Z,2014-07-06T10:05:26Z
45,Go1.3 only support?,2014-07-06T18:23:30Z,2014-07-15T15:45:53Z
48,Unable to get http response code in middle ware.,2014-07-06T23:15:16Z,2014-07-07T00:13:50Z
49,"A better way to send an error as JSON/XML, canceling next handlers",2014-07-07T02:21:31Z,2014-07-09T01:49:56Z
51,How can I use websocket,2014-07-07T14:38:20Z,2014-08-26T15:54:56Z
53,Not prompt an error when port is   occupied!,2014-07-08T03:29:11Z,2014-07-09T01:45:45Z
54,c.Html(...)  default suffix,2014-07-08T03:37:24Z,2014-07-15T15:44:04Z
55,How to write request test ?,2014-07-08T05:51:49Z,2014-07-09T08:35:22Z
57,How can i use gin with standard handlers?,2014-07-08T06:58:50Z,2014-07-08T07:26:30Z
59,Content negotiation,2014-07-08T13:32:47Z,2015-07-04T09:30:13Z
61,How to turn off caching in development mode？,2014-07-09T08:44:55Z,2014-08-29T12:00:01Z
63,Can't unmarshal JSON array with c.EnsureBody,2014-07-09T20:40:51Z,2014-07-15T15:48:18Z
64,Pluggable view renderer,2014-07-11T11:24:58Z,2014-07-18T14:30:43Z
65,Setup of gin with Google App Engine,2014-07-12T07:37:33Z,2014-07-15T21:45:31Z
66,Create mailing list,2014-07-15T20:15:42Z,2015-01-01T16:11:08Z
72,undefined: sync.Pool error,2014-07-16T15:49:29Z,2014-09-07T16:12:08Z
75,Inability to use '/' for static files,2014-07-17T04:09:43Z,2014-07-17T21:22:23Z
77,When to release the next stable version,2014-07-18T02:17:36Z,2014-07-18T13:26:46Z
78,Organize a decent template system,2014-07-18T07:17:57Z,2015-07-04T09:24:39Z
84,Please add redirect support,2014-07-26T03:30:25Z,2014-08-18T15:23:04Z
85,Deffered header write,2014-07-26T05:02:40Z,2014-08-29T11:58:48Z
86,go get failing,2014-07-26T18:54:39Z,2014-07-31T18:34:27Z
87,how do we return an array of json as response,2014-07-28T17:40:58Z,2014-07-31T18:35:37Z
90,Feature request: Reverse url,2014-08-01T05:32:13Z,2015-01-03T14:55:55Z
92,do we support query parameter? I dont see it from the doc,2014-08-05T23:15:32Z,2014-08-18T03:24:03Z
93,"google group creation, please!",2014-08-14T16:38:18Z,2014-08-17T01:24:53Z
94,Different Context? (Appengine),2014-08-15T19:40:42Z,2014-08-15T19:44:00Z
95,iota results in missing parameter,2014-08-18T18:15:46Z,2017-07-02T12:13:03Z
96,Development mode,2014-08-19T01:38:29Z,2015-07-03T18:21:29Z
100,[Binding] Embedded struct fails required condition,2014-08-22T12:53:02Z,2014-12-29T12:43:29Z
104,gorilla websocket error,2014-08-25T11:27:52Z,2014-08-25T12:01:52Z
106,"How to load static files, like css, js etc.",2014-08-29T09:11:28Z,2014-08-29T09:30:39Z
107,upload image processing using gin,2014-08-31T06:58:52Z,2015-11-13T06:11:22Z
108,r.group not working,2014-08-31T18:59:07Z,2015-01-03T14:49:59Z
109,Binding doesn't support multipart/form-data,2014-09-01T09:09:08Z,2015-01-03T14:56:41Z
111,Go does not contain an exclamation point,2014-09-03T08:06:08Z,2015-01-03T14:44:20Z
113,An idea for content negotiation,2014-09-07T15:22:58Z,2015-01-03T15:00:01Z
114,Problem installing,2014-09-08T16:15:34Z,2014-09-08T17:44:23Z
115,Binding validation doesn't seem to work,2014-09-10T00:30:30Z,2014-12-29T12:43:47Z
116,Just a question,2014-09-10T09:09:36Z,2015-01-01T16:11:31Z
117,"""multiple-value c.Get() in single-value context""",2014-09-10T14:15:55Z,2014-09-14T02:36:01Z
118,Sessions,2014-09-14T11:36:38Z,2014-10-08T08:50:13Z
119,why don't working LoadHTMLTemplates function in debug mode ,2014-09-15T18:45:04Z,2015-07-08T07:36:25Z
124,socket.io compatibility,2014-09-18T22:25:49Z,2014-09-19T18:02:25Z
125,*gin.Context.JSON turning empty array into null,2014-09-25T17:29:07Z,2014-10-04T19:35:23Z
126,Feature: Custom Headers,2014-09-25T17:31:00Z,2014-09-25T17:35:37Z
127,Redirect middleware,2014-09-28T13:39:51Z,2014-09-28T22:29:43Z
128,how to blacklist/whitelist fields?,2014-09-30T04:12:06Z,2015-01-01T16:10:20Z
129,Bind a checkbox group,2014-09-30T17:39:14Z,2017-07-08T18:24:06Z
130,Can't figure out how the html templating works.,2014-10-06T02:38:17Z,2015-01-03T14:52:08Z
131,question: Ace,2014-10-06T04:36:21Z,2014-11-04T22:23:16Z
133,[GIN] WARNING. Headers were already written! ,2014-10-08T08:36:21Z,2015-03-26T03:56:06Z
134,Can't load HTML templates under gin_mode/debugCode,2014-10-09T09:09:37Z,2015-01-03T14:52:28Z
135,render.Render does not use the passed template reference? ,2014-10-11T15:21:59Z,2014-10-16T03:09:43Z
136,panic: conflict with wildcard route,2014-10-14T09:18:13Z,2015-01-03T14:43:07Z
137,undefined: sync.Pool,2014-10-14T15:21:14Z,2014-11-16T10:09:05Z
138,Gin Equivalent Martini Map,2014-10-21T00:17:09Z,2015-05-17T01:00:19Z
140,Issue with custom CORS header middleware in grouped routes related to #29,2014-10-26T20:24:33Z,2015-07-04T09:27:19Z
143,Typo in the repository description,2014-11-01T14:05:40Z,2014-11-02T10:22:20Z
145,LoadHTMLTemplates not work!,2014-11-08T10:18:09Z,2015-01-03T14:53:10Z
146,call of reflect.Value.Elem on struct Value,2014-11-11T01:41:12Z,2014-11-11T07:45:56Z
147,AuthRequired,2014-11-12T16:51:36Z,2014-11-16T10:05:03Z
148,support request: how to deny access gracefully,2014-11-14T15:28:58Z,2014-11-15T10:32:38Z
149,Json not work,2014-11-15T14:29:15Z,2014-11-16T04:56:17Z
150,SockJS integration,2014-11-15T20:37:50Z,2014-11-15T22:59:48Z
151,Is there some function to handle session?,2014-11-16T13:55:27Z,2014-11-17T05:22:31Z
152,how to handle context return value?,2014-11-17T05:27:27Z,2014-11-17T13:57:57Z
153,Gin does not support Context for cancellation,2014-11-18T18:22:20Z,2016-04-14T21:53:30Z
154,Access to Router options,2014-11-18T20:25:00Z,2014-11-19T14:10:14Z
156,Update SetMode Default Statement,2014-11-19T17:26:10Z,2015-07-08T08:44:49Z
158,static middleware not work,2014-11-23T06:08:48Z,2015-01-03T14:41:48Z
159,Refresh/restart script,2014-11-24T04:50:57Z,2014-12-29T14:27:19Z
160,Suggestion: rename the project,2014-11-26T14:12:27Z,2015-07-03T18:19:50Z
161,Oauth2 plugin,2014-11-27T03:53:36Z,2015-01-04T01:38:28Z
162,Binding validate panic due to unexported field,2014-11-27T03:55:56Z,2015-01-01T16:56:58Z
163,No way to change POST max size,2014-11-28T10:07:18Z,2015-07-04T09:25:23Z
164,Engine.Run* methods should return an error,2014-12-01T02:33:53Z,2015-05-23T23:04:49Z
165,Ask: How to get and set Cookie from gin.Context?,2014-12-01T06:26:17Z,2014-12-01T19:35:28Z
166,"Feature request: when rendering inexistent file, show missing file error",2014-12-01T22:44:10Z,2014-12-01T22:48:37Z
167,Suggestion: integrate with pongo2 ,2014-12-02T01:30:24Z,2015-01-04T01:16:09Z
169,basic_auth example doesn't work as written,2014-12-03T16:35:50Z,2015-01-01T16:21:20Z
170,binding example doesn't work as written,2014-12-03T16:42:14Z,2015-01-01T16:04:04Z
