framework,lft_median,lft_mean,lft_stddev
django,,,
rails,3.0,34.8175572519084,57.83180345929588
spring-framework,2.0,-18.609593199757136,267.3619083139381
gin,2.0,19.866071428571427,45.59256007588192
express,0.0,20.67910447761194,62.192596925226155
ktor,9.0,44.60233918128655,77.65805787847432
vapor,4.0,69.984375,122.40587693187257
core,4.0,11.966397849462366,24.751519960290025
playframework,8.0,38.885245901639344,70.01029401538642
laravel,,,
