number,created_at,closed_at
29976,2019-01-24T18:28:36Z,2019-01-29T10:39:58Z
29977,2019-01-24T18:51:34Z,2019-04-03T11:59:03Z
29982,2019-01-25T11:43:06Z,2019-01-29T10:15:13Z
29986,2019-01-25T18:41:02Z,2019-02-02T07:49:11Z
29989,2019-01-25T21:33:49Z,2020-02-20T14:51:24Z
29991,2019-01-25T22:17:37Z,2019-01-29T12:54:35Z
29993,2019-01-26T15:16:12Z,2019-01-26T16:36:02Z
29997,2019-01-26T23:38:56Z,2019-12-17T10:13:00Z
30010,2019-01-29T01:15:21Z,2019-04-26T06:09:15Z
30011,2019-01-29T08:11:49Z,2019-01-30T08:14:58Z
30014,2019-01-29T09:39:39Z,2019-01-30T11:22:56Z
30015,2019-01-29T10:02:43Z,2019-02-02T07:42:05Z
30017,2019-01-29T10:46:26Z,2019-01-30T17:52:34Z
30018,2019-01-29T12:26:00Z,2019-01-30T12:37:53Z
30021,2019-01-29T15:29:54Z,2019-01-29T16:13:20Z
30029,2019-01-29T20:51:57Z,2019-01-30T19:22:07Z
30033,2019-01-30T08:33:23Z,2019-01-30T11:30:56Z
30036,2019-01-30T09:18:29Z,2019-02-24T17:04:14Z
30039,2019-01-30T12:20:35Z,2019-01-30T22:27:18Z
30040,2019-01-30T12:56:21Z,2019-01-31T07:47:40Z
30047,2019-01-30T20:06:22Z,2019-02-16T18:51:06Z
30049,2019-01-31T13:16:03Z,2019-01-31T13:50:37Z
30054,2019-02-01T01:24:49Z,2019-02-24T17:02:59Z
30055,2019-02-01T07:57:08Z,2019-09-21T16:58:54Z
30059,2019-02-01T20:14:09Z,2019-04-06T16:46:04Z
30066,2019-02-03T00:26:29Z,2019-02-04T16:07:06Z
30070,2019-02-04T08:52:59Z,2019-02-18T08:53:32Z
30071,2019-02-04T10:18:50Z,2019-02-18T10:07:50Z
30072,2019-02-04T10:29:24Z,2019-02-04T11:59:57Z
30073,2019-02-04T11:04:12Z,2019-02-07T15:00:23Z
30080,2019-02-05T11:01:43Z,2019-03-22T14:53:52Z
30082,2019-02-05T12:12:05Z,2019-04-06T19:05:06Z
30083,2019-02-05T16:27:11Z,2019-02-05T22:50:29Z
30086,2019-02-06T07:48:41Z,2019-02-06T08:20:14Z
30088,2019-02-06T09:08:37Z,2019-04-07T08:40:36Z
30091,2019-02-06T12:25:59Z,2019-07-29T17:36:12Z
30092,2019-02-06T13:36:55Z,2019-04-06T17:15:26Z
30094,2019-02-06T15:24:08Z,2020-04-10T06:55:15Z
30099,2019-02-07T08:01:12Z,2019-04-06T14:00:09Z
30104,2019-02-07T13:16:40Z,2019-02-07T16:55:09Z
