number,created_at,closed_at
3265,2019-06-18T05:37:41Z,2019-06-18T07:09:57Z
3268,2019-06-21T14:00:44Z,2019-06-21T14:09:00Z
3271,2019-06-24T12:28:37Z,2019-06-24T12:39:11Z
3275,2019-07-01T13:26:54Z,2019-07-01T17:57:15Z
3277,2019-07-01T14:19:39Z,2019-07-01T17:57:20Z
3279,2019-07-01T14:28:10Z,2019-07-01T16:38:43Z
3283,2019-07-02T15:23:10Z,2019-07-02T18:44:39Z
3287,2019-07-06T00:23:49Z,2019-07-06T00:36:39Z
3288,2019-07-06T21:27:43Z,2019-07-08T17:42:53Z
3289,2019-07-07T14:16:26Z,2019-07-07T15:55:39Z
3291,2019-07-08T16:34:06Z,2019-07-08T16:43:25Z
3294,2019-07-10T07:51:53Z,2019-07-10T10:47:47Z
3295,2019-07-10T14:25:35Z,2019-07-10T14:55:33Z
3297,2019-07-10T05:55:01Z,2019-07-10T19:42:59Z
3300,2019-07-11T08:18:25Z,2019-07-11T13:04:20Z
3301,2019-07-13T09:05:08Z,2019-07-13T09:05:45Z
3302,2019-07-13T09:15:21Z,2019-07-13T09:16:12Z
3303,2019-07-13T21:21:04Z,2019-07-13T21:46:37Z
3304,2019-07-16T21:55:03Z,2019-07-22T20:36:47Z
3306,2019-07-19T07:12:04Z,2019-12-30T10:04:25Z
3307,2019-07-20T21:10:55Z,2019-07-20T22:02:02Z
3310,2019-07-22T08:01:09Z,2019-07-22T20:36:20Z
3311,2019-07-22T16:16:37Z,2019-07-22T20:21:33Z
3312,2019-07-23T13:45:14Z,2019-07-23T14:55:01Z
3313,2019-07-23T20:30:04Z,2019-07-23T20:59:43Z
3318,2019-07-30T20:41:30Z,2019-07-30T21:48:24Z
3319,2019-07-31T20:07:16Z,2019-08-01T19:55:24Z
3320,2019-08-01T00:14:39Z,2019-08-01T19:56:41Z
3322,2019-08-07T08:43:09Z,2019-08-07T08:44:43Z
3323,2019-08-07T09:32:21Z,2019-08-07T09:39:43Z
3325,2019-08-08T07:38:26Z,2019-08-21T16:47:57Z
3326,2019-08-09T09:47:50Z,2019-08-09T09:53:33Z
3327,2019-08-09T13:41:56Z,2019-08-09T14:06:17Z
3329,2019-08-10T18:02:55Z,2019-08-10T19:34:45Z
3330,2019-08-12T15:39:00Z,2019-08-12T21:56:24Z
3331,2019-08-12T16:29:22Z,2019-08-12T22:04:26Z
3335,2019-08-15T12:26:34Z,2019-08-15T15:56:36Z
3339,2019-08-18T14:00:12Z,2019-08-18T14:44:58Z
3340,2019-08-21T08:53:46Z,2019-08-21T12:24:25Z
3341,2019-08-23T08:05:24Z,2019-08-23T12:20:39Z
3342,2019-08-24T20:31:26Z,2019-08-24T21:07:03Z
3345,2019-08-29T03:57:48Z,2019-08-29T13:14:43Z
3347,2019-09-01T03:19:56Z,2019-09-01T03:39:38Z
3348,2019-09-02T08:43:34Z,2019-09-02T08:51:33Z
3350,2019-09-03T15:55:21Z,2019-09-24T13:49:00Z
3351,2019-09-04T09:50:22Z,2019-09-04T15:22:54Z
3352,2019-09-04T18:58:54Z,2019-09-04T19:37:09Z
3353,2019-09-05T20:12:04Z,2019-09-23T15:28:22Z
3354,2019-09-08T01:34:57Z,2019-10-13T02:03:35Z
3356,2019-09-09T07:54:10Z,2019-09-23T15:39:07Z
3357,2019-09-09T07:57:09Z,2019-09-09T12:09:42Z
3358,2019-09-10T06:29:55Z,2019-11-19T05:45:18Z
3359,2019-09-10T11:40:35Z,2019-09-10T12:06:45Z
3361,2019-09-11T11:39:54Z,2019-10-12T16:50:08Z
3362,2019-09-14T04:09:12Z,2019-09-14T04:34:30Z
3363,2019-09-16T13:22:24Z,2019-09-16T13:27:06Z
3364,2019-09-16T23:46:35Z,2019-09-16T23:49:14Z
3365,2019-09-17T13:45:32Z,2019-09-18T14:00:02Z
3366,2019-09-19T04:28:04Z,2019-09-19T05:58:32Z
3367,2019-09-19T21:01:58Z,2019-09-19T21:09:24Z
3370,2019-09-22T19:26:26Z,2019-09-22T21:08:09Z
3371,2019-09-22T19:26:27Z,2019-09-22T21:08:15Z
3372,2019-09-23T10:52:28Z,2019-09-23T12:06:06Z
3373,2019-09-23T11:09:51Z,2019-09-23T15:39:10Z
3377,2019-09-24T13:53:17Z,2019-09-24T13:59:24Z
3379,2019-10-01T01:12:07Z,2019-10-01T01:23:39Z
3380,2019-10-03T03:07:57Z,2019-10-03T03:15:51Z
3383,2019-10-08T20:06:33Z,2019-10-08T20:08:21Z
3384,2019-10-10T07:12:58Z,2019-10-10T11:27:15Z
3385,2019-10-11T08:10:20Z,2019-10-11T14:51:53Z
3387,2019-10-12T03:05:19Z,2019-10-12T03:40:26Z
3388,2019-10-12T09:31:28Z,2019-10-12T09:50:04Z
3389,2019-10-12T16:41:52Z,2019-10-12T16:48:31Z
3392,2019-10-13T17:32:37Z,2019-10-13T17:34:48Z
3393,2019-10-14T09:34:00Z,2019-10-15T16:14:07Z
3394,2019-10-14T09:37:36Z,2019-10-14T09:40:03Z
3399,2019-10-17T12:04:01Z,2019-10-17T12:06:27Z
3400,2019-10-18T13:49:43Z,2019-10-18T14:00:57Z
3402,2019-10-21T15:22:41Z,2019-10-29T01:26:41Z
3404,2019-10-25T20:55:31Z,2020-03-11T13:38:13Z
3409,2019-10-28T20:04:07Z,2019-10-28T20:24:56Z
3411,2019-10-29T03:39:43Z,2019-10-29T03:47:16Z
3416,2019-11-07T09:25:14Z,2019-11-07T12:22:50Z
3417,2019-11-07T18:06:19Z,2019-11-07T18:07:07Z
3418,2019-11-07T18:10:07Z,2019-11-07T18:19:31Z
3420,2019-11-08T05:01:16Z,2019-11-08T05:04:06Z
3422,2019-11-12T15:06:44Z,2019-11-12T15:49:57Z
3423,2019-11-13T12:13:10Z,2020-02-10T22:44:30Z
3424,2019-11-13T17:38:54Z,2019-11-13T18:02:26Z
3428,2019-11-15T13:32:27Z,2019-11-15T15:15:26Z
3429,2019-11-15T16:50:46Z,2019-11-16T08:51:36Z
3430,2019-11-18T15:08:46Z,2019-11-19T02:22:39Z
3431,2019-11-18T15:50:16Z,2019-11-19T02:22:39Z
3433,2019-11-18T20:26:28Z,2019-11-18T20:27:01Z
3436,2019-11-20T09:32:18Z,2019-11-20T09:34:24Z
3438,2019-11-25T07:48:16Z,2019-11-25T13:47:14Z
3440,2019-12-04T13:04:47Z,2020-02-12T04:58:40Z
3441,2019-12-05T08:41:34Z,2020-02-10T21:46:17Z
3442,2019-12-09T13:11:31Z,2019-12-21T14:54:26Z
3444,2019-12-13T15:05:33Z,2019-12-13T15:11:32Z
3445,2019-12-14T23:05:13Z,2020-02-10T21:15:25Z
3446,2019-12-16T10:07:02Z,2019-12-16T10:08:57Z
3447,2019-12-16T18:25:22Z,2019-12-16T18:58:09Z
3448,2019-12-16T21:45:27Z,2019-12-16T21:50:35Z
3449,2019-12-17T19:20:36Z,2019-12-17T20:03:49Z
3450,2019-12-17T22:19:48Z,2019-12-17T23:05:29Z
3451,2019-12-18T16:09:15Z,2019-12-18T16:52:46Z
3452,2019-12-19T14:23:19Z,2020-02-12T15:09:39Z
3454,2019-12-23T14:58:38Z,2019-12-23T15:31:34Z
3455,2019-12-24T04:16:49Z,2019-12-24T04:20:42Z
3457,2019-12-29T14:01:49Z,2019-12-29T15:09:24Z
3459,2019-12-29T21:21:57Z,2019-12-29T21:27:51Z
3463,2020-01-06T12:46:37Z,2020-01-06T13:09:14Z
3464,2020-01-09T20:44:16Z,2020-01-09T20:46:30Z
3465,2020-01-12T10:27:23Z,2020-02-11T02:18:24Z
3466,2020-01-13T17:50:19Z,2020-01-14T15:44:29Z
3468,2020-01-14T02:19:53Z,2020-01-14T03:09:10Z
3469,2020-01-14T20:55:49Z,2020-01-14T21:44:27Z
3470,2020-01-15T18:11:05Z,2020-02-10T20:21:41Z
3471,2020-01-21T04:39:41Z,2020-02-11T02:13:57Z
3472,2020-01-22T09:25:28Z,2020-01-23T21:14:45Z
3474,2020-01-23T15:15:42Z,2020-01-23T15:18:57Z
3475,2020-01-28T21:16:25Z,2020-01-28T21:17:38Z
3476,2020-01-30T07:33:23Z,2020-01-30T07:50:56Z
3477,2020-02-03T05:21:25Z,2020-02-03T13:02:26Z
3481,2020-02-06T22:48:34Z,2020-02-06T23:00:49Z
3482,2020-02-06T23:27:02Z,2020-02-06T23:29:29Z
3484,2020-02-07T09:49:48Z,2020-02-07T13:44:14Z
3485,2020-02-07T09:59:37Z,2020-02-07T12:51:30Z
3486,2020-02-07T11:35:46Z,2020-02-07T12:33:24Z
3490,2020-02-07T14:41:46Z,2020-02-07T14:46:13Z
3493,2020-02-10T08:44:39Z,2020-02-10T19:16:19Z
3494,2020-02-10T10:54:32Z,2020-02-12T04:42:42Z
3495,2020-02-10T15:43:52Z,2020-02-11T02:37:46Z
3499,2020-02-10T22:36:10Z,2020-02-10T22:57:18Z
3500,2020-02-11T13:47:50Z,2020-02-11T13:49:19Z
3501,2020-02-12T18:59:24Z,2020-02-12T19:12:03Z
3502,2020-02-14T17:44:22Z,2020-02-15T18:46:04Z
3506,2020-02-17T23:46:25Z,2020-04-04T22:02:42Z
3508,2020-02-18T15:25:25Z,2020-02-18T15:26:53Z
3509,2020-02-19T18:58:59Z,2020-03-22T12:58:08Z
